NOC,Predicted_Gold,Predicted_Silver,Predicted_Bronze,Predicted_Total
Bosnia and Herzegovina,-0.00010883899,1.1014869e-05,-0.0005735656,-0.00067138975
Luxembourg,-0.0018310882,-0.00040654922,0.0014640053,-0.0007736322
Burkina Faso,-0.0002886864,-0.00034896107,-0.00014934812,-0.0007869956
Samoa,0.0002509267,-0.00018573932,-0.00087511906,-0.00080993166
Haiti,-0.00013008421,-6.525963e-05,-0.00064067414,-0.000836018
Comoros,0.00030288746,8.452833e-05,-0.0012675254,-0.0008801096
Mozambique,-4.1847634e-05,5.7487745e-05,-0.0009266046,-0.0009109645
Madagascar,-4.1847634e-05,5.7487745e-05,-0.0009266046,-0.0009109645
Afghanistan,-4.1847634e-05,3.2141448e-05,-0.0009394232,-0.0009491294
Nepal,-4.4804117e-05,5.7487745e-05,-0.0009922617,-0.000979578
Latvia,-0.00019231236,-0.00039069518,-0.0006868619,-0.0012698695
San Marino,-4.1847634e-05,1.1014869e-05,-0.0012574268,-0.0012882595
Togo,-4.1847634e-05,1.1014869e-05,-0.0012702454,-0.0013010781
Gabon,-4.1847634e-05,1.1014869e-05,-0.0012702454,-0.0013010781
Maldives,-4.1847634e-05,1.1014869e-05,-0.0012702454,-0.0013010781
Guyana,-4.4804117e-05,1.1014869e-05,-0.0012702454,-0.0013040346
El Salvador,-3.346612e-05,0.00028830682,-0.001817323,-0.0015624823
Senegal,5.201934e-05,-0.00070032326,-0.00091961084,-0.0015679148
AIN,0.00050104066,0.00063277985,-0.0041944087,-0.0030605881
