Year,Sport,NOC,Sex,Legendary_Index,Predicted_Legendary_Coach
2004,Archery,CHN,F,0.54977036,False
2008,Archery,CHN,F,0.6231164,False
2012,Archery,CHN,F,0.54977036,False
2016,Archery,CHN,F,0.544598,False
2020,Archery,CHN,F,0.544598,False
2024,Archery,CHN,F,0.54977036,False
1984,Archery,CHN,M,0.36292055,False
1988,Archery,CHN,M,0.36292055,False
1992,Archery,CHN,M,0.37866002,False
1996,Archery,CHN,M,0.544598,False
2000,Archery,CHN,M,0.544598,False
2004,Archery,CHN,M,0.544598,False
2008,Archery,CHN,M,0.57598037,False
2012,Archery,CHN,M,0.5603971,False
2016,Archery,CHN,M,0.544598,False
2020,Archery,CHN,M,0.544598,False
2024,Archery,CHN,M,0.544598,False
2012,Archery,CIV,M,0.544598,False
2016,Archery,CIV,M,0.544598,False
1992,Archery,COL,F,0.37866002,False
2008,Archery,COL,F,0.544598,False
2012,Archery,COL,F,0.544598,False
2016,Archery,COL,F,0.544598,False
2020,Archery,COL,F,0.544598,False
2024,Archery,COL,F,0.544598,False
1984,Archery,COL,M,0.36292055,False
2012,Archery,COL,M,0.544598,False
2016,Archery,COL,M,0.544598,False
2020,Archery,COL,M,0.544598,False
2024,Archery,COL,M,0.544598,False
1992,Archery,CRC,F,0.37866002,False
1976,Archery,CRC,M,0.3548772,False
1980,Archery,CRC,M,0.3548772,False
2000,Archery,CUB,F,0.544598,False
2004,Archery,CUB,F,0.544598,False
2000,Archery,CUB,M,0.544598,False
2008,Archery,CUB,M,0.544598,False
2012,Archery,CUB,M,0.544598,False
2016,Archery,CUB,M,0.544598,False
2024,Archery,CUB,M,0.544598,False
2008,Archery,CYP,F,0.544598,False
1992,Archery,CYP,M,0.37866002,False
2008,Archery,CZE,F,0.544598,False
2020,Archery,CZE,F,0.544598,False
2024,Archery,CZE,F,0.544598,False
2008,Archery,CZE,M,0.544598,False
2024,Archery,CZE,M,0.544598,False
1972,Archery,DEN,F,0.3548772,False
2000,Archery,DEN,F,0.544598,False
2008,Archery,DEN,F,0.544598,False
2012,Archery,DEN,F,0.544598,False
2020,Archery,DEN,F,0.544598,False
2024,Archery,DEN,F,0.544598,False
1972,Archery,DEN,M,0.3548772,False
1976,Archery,DEN,M,0.3548772,False
1988,Archery,DEN,M,0.36292055,False
1992,Archery,DEN,M,0.37866002,False
2004,Archery,DEN,M,0.544598,False
2008,Archery,DEN,M,0.544598,False
2016,Archery,DOM,F,0.544598,False
2020,Archery,ECU,F,0.544598,False
2004,Archery,EGY,F,0.544598,False
2008,Archery,EGY,F,0.544598,False
2012,Archery,EGY,F,0.544598,False
2016,Archery,EGY,F,0.544598,False
2020,Archery,EGY,F,0.544598,False
2024,Archery,EGY,F,0.544598,False
2000,Archery,EGY,M,0.544598,False
2004,Archery,EGY,M,0.544598,False
2008,Archery,EGY,M,0.544598,False
2012,Archery,EGY,M,0.544598,False
2016,Archery,EGY,M,0.544598,False
2020,Archery,EGY,M,0.544598,False
2024,Archery,EGY,M,0.544598,False
2000,Archery,ESA,M,0.544598,False
2004,Archery,ESA,M,0.544598,False
2024,Archery,ESA,M,0.544598,False
1972,Archery,ESP,F,0.3548772,False
1984,Archery,ESP,F,0.36292055,False
1988,Archery,ESP,F,0.36292055,False
1992,Archery,ESP,F,0.37866002,False
2000,Archery,ESP,F,0.544598,False
2004,Archery,ESP,F,0.544598,False
2012,Archery,ESP,F,0.544598,False
2016,Archery,ESP,F,0.544598,False
2020,Archery,ESP,F,0.544598,False
2024,Archery,ESP,F,0.544598,False
1972,Archery,ESP,M,0.3548772,False
1980,Archery,ESP,M,0.3548772,False
1984,Archery,ESP,M,0.36292055,False
1988,Archery,ESP,M,0.36292055,False
1992,Archery,ESP,M,0.5334338,False
1996,Archery,ESP,M,0.544598,False
2004,Archery,ESP,M,0.544598,False
2008,Archery,ESP,M,0.544598,False
2012,Archery,ESP,M,0.544598,False
2016,Archery,ESP,M,0.544598,False
2020,Archery,ESP,M,0.544598,False
2024,Archery,ESP,M,0.544598,False
2012,Archery,EST,F,0.544598,False
2016,Archery,EST,F,0.544598,False
2020,Archery,EST,F,0.544598,False
2024,Archery,EST,F,0.544598,False
1992,Archery,EST,M,0.37866002,False
1996,Archery,EST,M,0.544598,False
1992,Archery,EUN,F,0.4100425,False
1992,Archery,EUN,M,0.37866002,False
2004,Archery,FIJ,M,0.544598,False
2012,Archery,FIJ,M,0.544598,False
2016,Archery,FIJ,M,0.544598,False
1980,Archery,FIN,F,0.37067628,False
1984,Archery,FIN,F,0.36292055,False
1988,Archery,FIN,F,0.36292055,False
2000,Archery,FIN,F,0.544598,False
2004,Archery,FIN,F,0.544598,False
2016,Archery,FIN,F,0.544598,False
1972,Archery,FIN,M,0.37067628,False
1976,Archery,FIN,M,0.3548772,False
1980,Archery,FIN,M,0.5195625,False
1984,Archery,FIN,M,0.36292055,False
1988,Archery,FIN,M,0.36292055,False
1992,Archery,FIN,M,0.3838324,False
1996,Archery,FIN,M,0.544598,False
2000,Archery,FIN,M,0.544598,False
2008,Archery,FIN,M,0.544598,False
2016,Archery,FIN,M,0.544598,False
2020,Archery,FIN,M,0.544598,False
2024,Archery,FIN,M,0.544598,False
1972,Archery,FRA,F,0.3548772,False
1976,Archery,FRA,F,0.3548772,False
1988,Archery,FRA,F,0.36292055,False
1992,Archery,FRA,F,0.37866002,False
1996,Archery,FRA,F,0.544598,False
2000,Archery,FRA,F,0.544598,False
2004,Archery,FRA,F,0.544598,False
2008,Archery,FRA,F,0.57598037,False
2012,Archery,FRA,F,0.544598,False
2020,Archery,FRA,F,0.544598,False
2024,Archery,FRA,F,0.5603971,False
1900,Archery,FRA,M,0.5812335,False
1908,Archery,FRA,M,0.5124153,False
1920,Archery,FRA,M,0.55568546,False
1972,Archery,FRA,M,0.3548772,False
1976,Archery,FRA,M,0.3548772,False
1984,Archery,FRA,M,0.36292055,False
1988,Archery,FRA,M,0.36292055,False
1992,Archery,FRA,M,0.5334338,False
1996,Archery,FRA,M,0.544598,False
2000,Archery,FRA,M,0.544598,False
2004,Archery,FRA,M,0.544598,False
2008,Archery,FRA,M,0.544598,False
2012,Archery,FRA,M,0.544598,False
2016,Archery,FRA,M,0.54977036,False
2020,Archery,FRA,M,0.544598,False
2024,Archery,FRA,M,0.54977036,False
1972,Archery,FRG,F,0.3548772,False
1976,Archery,FRG,F,0.3548772,False
1984,Archery,FRG,F,0.36292055,False
1988,Archery,FRG,F,0.36292055,False
1972,Archery,FRG,M,0.3548772,False
1976,Archery,FRG,M,0.3548772,False
1984,Archery,FRG,M,0.36292055,False
1988,Archery,FRG,M,0.36292055,False
1908,Archery,GBR,F,0.5124153,False
1972,Archery,GBR,F,0.3548772,False
1976,Archery,GBR,F,0.3548772,False
1980,Archery,GBR,F,0.3548772,False
1984,Archery,GBR,F,0.36292055,False
1988,Archery,GBR,F,0.36292055,False
1992,Archery,GBR,F,0.37866002,False
1996,Archery,GBR,F,0.544598,False
2000,Archery,GBR,F,0.544598,False
2004,Archery,GBR,F,0.5603971,False
2008,Archery,GBR,F,0.544598,False
2012,Archery,GBR,F,0.544598,False
2016,Archery,GBR,F,0.544598,False
2020,Archery,GBR,F,0.544598,False
2024,Archery,GBR,F,0.544598,False
1908,Archery,GBR,M,0.5124153,False
1972,Archery,GBR,M,0.3548772,False
1976,Archery,GBR,M,0.3548772,False
1980,Archery,GBR,M,0.3548772,False
1984,Archery,GBR,M,0.36292055,False
1988,Archery,GBR,M,0.39430302,False
1992,Archery,GBR,M,0.4100425,False
1996,Archery,GBR,M,0.544598,False
2000,Archery,GBR,M,0.544598,False
2004,Archery,GBR,M,0.544598,False
2008,Archery,GBR,M,0.544598,False
2012,Archery,GBR,M,0.544598,False
2016,Archery,GBR,M,0.544598,False
2020,Archery,GBR,M,0.544598,False
2024,Archery,GBR,M,0.544598,False
1996,Archery,GEO,F,0.544598,False
2000,Archery,GEO,F,0.544598,False
2004,Archery,GEO,F,0.544598,False
2008,Archery,GEO,F,0.544598,False
2012,Archery,GEO,F,0.544598,False
2016,Archery,GEO,F,0.544598,False
1992,Archery,GER,F,0.37866002,False
1996,Archery,GER,F,0.54977036,False
2000,Archery,GER,F,0.57598037,False
2004,Archery,GER,F,0.544598,False
2008,Archery,GER,F,0.544598,False
2012,Archery,GER,F,0.544598,False
2016,Archery,GER,F,0.54977036,False
2020,Archery,GER,F,0.57598037,False
2024,Archery,GER,F,0.54977036,False
1992,Archery,GER,M,0.37866002,False
2000,Archery,GER,M,0.544598,False
2004,Archery,GER,M,0.544598,False
2008,Archery,GER,M,0.544598,False
2012,Archery,GER,M,0.544598,False
2016,Archery,GER,M,0.544598,False
2020,Archery,GER,M,0.544598,False
2024,Archery,GER,M,0.54977036,False
2000,Archery,GRE,F,0.544598,False
2004,Archery,GRE,F,0.544598,False
2008,Archery,GRE,F,0.544598,False
2012,Archery,GRE,F,0.544598,False
2016,Archery,GRE,F,0.544598,False
2020,Archery,GRE,F,0.544598,False
2004,Archery,GRE,M,0.544598,False
2024,Archery,GUI,F,0.544598,False
1992,Archery,GUM,M,0.37866002,False
1984,Archery,HKG,F,0.36292055,False
1988,Archery,HKG,F,0.36292055,False
1984,Archery,HKG,M,0.36292055,False
1988,Archery,HKG,M,0.36292055,False
1992,Archery,HKG,M,0.37866002,False
2012,Archery,HKG,M,0.544598,False
1972,Archery,HUN,F,0.3548772,False
1980,Archery,HUN,F,0.3548772,False
1992,Archery,HUN,F,0.37866002,False
1996,Archery,HUN,F,0.544598,False
1972,Archery,HUN,M,0.3548772,False
1980,Archery,HUN,M,0.3548772,False
2020,Archery,HUN,M,0.544598,False
1972,Archery,INA,F,0.3548772,False
1976,Archery,INA,F,0.3548772,False
1988,Archery,INA,F,0.36809292,False
1992,Archery,INA,F,0.37866002,False
1996,Archery,INA,F,0.544598,False
2000,Archery,INA,F,0.544598,False
2004,Archery,INA,F,0.544598,False
2008,Archery,INA,F,0.544598,False
2012,Archery,INA,F,0.544598,False
2016,Archery,INA,F,0.544598,False
2020,Archery,INA,F,0.544598,False
2024,Archery,INA,F,0.544598,False
1976,Archery,INA,M,0.3548772,False
1984,Archery,INA,M,0.36292055,False
1988,Archery,INA,M,0.36292055,False
1992,Archery,INA,M,0.37866002,False
2004,Archery,INA,M,0.544598,False
2016,Archery,INA,M,0.544598,False
2020,Archery,INA,M,0.544598,False
2024,Archery,INA,M,0.544598,False
2004,Archery,IND,F,0.544598,False
2008,Archery,IND,F,0.544598,False
2012,Archery,IND,F,0.544598,False
2016,Archery,IND,F,0.544598,False
2020,Archery,IND,F,0.544598,False
2024,Archery,IND,F,0.544598,False
1988,Archery,IND,M,0.36292055,False
1992,Archery,IND,M,0.37866002,False
1996,Archery,IND,M,0.544598,False
2004,Archery,IND,M,0.544598,False
2008,Archery,IND,M,0.544598,False
2012,Archery,IND,M,0.544598,False
2016,Archery,IND,M,0.544598,False
2020,Archery,IND,M,0.544598,False
2024,Archery,IND,M,0.544598,False
2008,Archery,IRI,F,0.544598,False
2012,Archery,IRI,F,0.544598,False
2016,Archery,IRI,F,0.544598,False
2024,Archery,IRI,F,0.544598,False
2008,Archery,IRI,M,0.544598,False
2012,Archery,IRI,M,0.544598,False
2020,Archery,IRI,M,0.544598,False
1980,Archery,IRL,F,0.3548772,False
1984,Archery,IRL,F,0.36292055,False
1988,Archery,IRL,F,0.36292055,False
1976,Archery,IRL,M,0.3548772,False
1980,Archery,IRL,M,0.3548772,False
1988,Archery,IRL,M,0.36292055,False
1992,Archery,IRL,M,0.37866002,False
