Year,Sport,NOC,Sex,Legendary_Index,Predicted_Legendary_Coach
1952,Athletics,FRA,M,0.32116005,False
1956,Athletics,FRA,M,0.50513,False
1960,Athletics,FRA,M,0.322994,False
1964,Athletics,FRA,M,0.3473701,False
1968,Athletics,FRA,M,0.3473701,False
1972,Athletics,FRA,M,0.3329183,False
1976,Athletics,FRA,M,0.48782066,False
1980,Athletics,FRA,M,0.38625962,False
1984,Athletics,FRA,M,0.495864,False
1988,Athletics,FRA,M,0.3870176,False
1992,Athletics,FRA,M,0.34691793,False
1996,Athletics,FRA,M,0.6218318,False
2000,Athletics,FRA,M,0.51885647,False
2004,Athletics,FRA,M,0.5346556,False
2008,Athletics,FRA,M,0.55160433,False
2012,Athletics,FRA,M,0.68088263,True
2016,Athletics,FRA,M,0.5543811,False
2020,Athletics,FRA,M,0.52402884,False
2024,Athletics,FRA,M,0.51885647,False
1968,Athletics,FRG,F,0.5124153,False
1972,Athletics,FRG,F,0.588381,False
1976,Athletics,FRG,F,0.5775201,False
1984,Athletics,FRG,F,0.5855634,False
1988,Athletics,FRG,F,0.3714342,False
1968,Athletics,FRG,M,0.3822392,False
1972,Athletics,FRG,M,0.54577786,False
1976,Athletics,FRG,M,0.40603006,False
1984,Athletics,FRG,M,0.55382127,False
1988,Athletics,FRG,M,0.4409151,False
2000,Athletics,FSM,F,0.544598,False
2004,Athletics,FSM,F,0.544598,False
2008,Athletics,FSM,F,0.544598,False
2012,Athletics,FSM,F,0.544598,False
2016,Athletics,FSM,F,0.544598,False
2000,Athletics,FSM,M,0.544598,False
2004,Athletics,FSM,M,0.544598,False
2008,Athletics,FSM,M,0.544598,False
2012,Athletics,FSM,M,0.544598,False
2016,Athletics,FSM,M,0.544598,False
2020,Athletics,FSM,M,0.544598,False
2024,Athletics,FSM,M,0.544598,False
1984,Athletics,GAB,F,0.36292055,False
1988,Athletics,GAB,F,0.36292055,False
2000,Athletics,GAB,F,0.544598,False
2004,Athletics,GAB,F,0.544598,False
2008,Athletics,GAB,F,0.544598,False
2012,Athletics,GAB,F,0.544598,False
2016,Athletics,GAB,F,0.544598,False
1992,Athletics,GAB,M,0.37866002,False
1996,Athletics,GAB,M,0.544598,False
2000,Athletics,GAB,M,0.544598,False
2004,Athletics,GAB,M,0.544598,False
2008,Athletics,GAB,M,0.544598,False
2012,Athletics,GAB,M,0.544598,False
2016,Athletics,GAB,M,0.544598,False
2020,Athletics,GAB,M,0.544598,False
2024,Athletics,GAB,M,0.544598,False
1984,Athletics,GAM,F,0.36292055,False
1988,Athletics,GAM,F,0.36292055,False
1996,Athletics,GAM,F,0.544598,False
2000,Athletics,GAM,F,0.544598,False
2004,Athletics,GAM,F,0.544598,False
2008,Athletics,GAM,F,0.544598,False
2012,Athletics,GAM,F,0.544598,False
2016,Athletics,GAM,F,0.544598,False
2020,Athletics,GAM,F,0.544598,False
2024,Athletics,GAM,F,0.544598,False
1984,Athletics,GAM,M,0.36292055,False
1988,Athletics,GAM,M,0.36292055,False
1992,Athletics,GAM,M,0.37866002,False
1996,Athletics,GAM,M,0.544598,False
2000,Athletics,GAM,M,0.544598,False
2004,Athletics,GAM,M,0.544598,False
2008,Athletics,GAM,M,0.544598,False
2012,Athletics,GAM,M,0.544598,False
2016,Athletics,GAM,M,0.544598,False
2020,Athletics,GAM,M,0.544598,False
2024,Athletics,GAM,M,0.544598,False
1932,Athletics,GBR,F,0.37911218,False
1936,Athletics,GBR,F,0.35290214,False
1948,Athletics,GBR,F,0.35290214,False
1952,Athletics,GBR,F,0.43062472,False
1956,Athletics,GBR,F,0.35290214,False
1960,Athletics,GBR,F,0.35473615,False
1964,Athletics,GBR,F,0.5703726,False
1968,Athletics,GBR,F,0.35290214,False
1972,Athletics,GBR,F,0.51227725,False
1976,Athletics,GBR,F,0.3475918,False
1980,Athletics,GBR,F,0.4338234,False
1984,Athletics,GBR,F,0.578278,False
1988,Athletics,GBR,F,0.33818477,False
1992,Athletics,GBR,F,0.50169194,False
1996,Athletics,GBR,F,0.5346556,False
2000,Athletics,GBR,F,0.597375,False
2004,Athletics,GBR,F,0.6218318,False
2008,Athletics,GBR,F,0.597375,False
2012,Athletics,GBR,F,0.597375,False
2016,Athletics,GBR,F,0.5851102,False
2020,Athletics,GBR,F,0.60284495,False
2024,Athletics,GBR,F,0.65533465,False
1896,Athletics,GBR,M,0.35473615,False
1900,Athletics,GBR,M,0.5812335,False
1904,Athletics,GBR,M,0.5124153,False
1906,Athletics,GBR,M,0.56308717,False
1908,Athletics,GBR,M,0.54949135,False
1912,Athletics,GBR,M,0.5306101,False
1920,Athletics,GBR,M,0.54949135,False
1924,Athletics,GBR,M,0.5306101,False
1928,Athletics,GBR,M,0.5386304,False
1932,Athletics,GBR,M,0.5703726,False
1936,Athletics,GBR,M,0.5386304,False
1948,Athletics,GBR,M,0.39610577,False
1952,Athletics,GBR,M,0.33178675,False
1956,Athletics,GBR,M,0.5386304,False
1960,Athletics,GBR,M,0.5386304,False
1964,Athletics,GBR,M,0.5386304,False
1968,Athletics,GBR,M,0.48067322,False
1972,Athletics,GBR,M,0.4032532,False
1976,Athletics,GBR,M,0.33893418,False
1980,Athletics,GBR,M,0.54577786,False
1984,Athletics,GBR,M,0.5646822,False
1988,Athletics,GBR,M,0.38975266,False
1992,Athletics,GBR,M,0.53586733,False
1996,Athletics,GBR,M,0.58342475,False
2000,Athletics,GBR,M,0.597375,False
2004,Athletics,GBR,M,0.6218318,False
2008,Athletics,GBR,M,0.62730163,False
2012,Athletics,GBR,M,0.597375,False
2016,Athletics,GBR,M,0.597375,False
2020,Athletics,GBR,M,0.6000682,False
2024,Athletics,GBR,M,0.5851102,False
2000,Athletics,GBS,F,0.544598,False
2004,Athletics,GBS,F,0.544598,False
2008,Athletics,GBS,F,0.544598,False
2012,Athletics,GBS,F,0.544598,False
2016,Athletics,GBS,F,0.544598,False
1996,Athletics,GBS,M,0.544598,False
2000,Athletics,GBS,M,0.544598,False
2004,Athletics,GBS,M,0.544598,False
2008,Athletics,GBS,M,0.544598,False
2012,Athletics,GBS,M,0.544598,False
2016,Athletics,GBS,M,0.544598,False
2020,Athletics,GBS,M,0.544598,False
2024,Athletics,GBS,M,0.544598,False
1968,Athletics,GDR,F,0.5124153,False
1972,Athletics,GDR,F,0.588381,False
1976,Athletics,GDR,F,0.588381,False
1980,Athletics,GDR,F,0.588381,False
1988,Athletics,GDR,F,0.56597584,False
1968,Athletics,GDR,M,0.50513,False
1972,Athletics,GDR,M,0.57023466,False
1976,Athletics,GDR,M,0.588381,False
1980,Athletics,GDR,M,0.5566388,False
1988,Athletics,GDR,M,0.58066297,False
1996,Athletics,GEO,F,0.544598,False
2000,Athletics,GEO,F,0.544598,False
2004,Athletics,GEO,F,0.544598,False
2008,Athletics,GEO,F,0.544598,False
2012,Athletics,GEO,F,0.544598,False
2016,Athletics,GEO,F,0.544598,False
2020,Athletics,GEO,F,0.544598,False
2024,Athletics,GEO,F,0.544598,False
2000,Athletics,GEO,M,0.544598,False
2004,Athletics,GEO,M,0.544598,False
2008,Athletics,GEO,M,0.544598,False
2012,Athletics,GEO,M,0.544598,False
2016,Athletics,GEO,M,0.544598,False
2020,Athletics,GEO,M,0.544598,False
1988,Athletics,GEQ,F,0.36292055,False
1992,Athletics,GEQ,F,0.37866002,False
1996,Athletics,GEQ,F,0.544598,False
2000,Athletics,GEQ,F,0.544598,False
2004,Athletics,GEQ,F,0.544598,False
2008,Athletics,GEQ,F,0.544598,False
2012,Athletics,GEQ,F,0.544598,False
2020,Athletics,GEQ,F,0.544598,False
2024,Athletics,GEQ,F,0.544598,False
1984,Athletics,GEQ,M,0.36292055,False
1988,Athletics,GEQ,M,0.36292055,False
1992,Athletics,GEQ,M,0.37866002,False
1996,Athletics,GEQ,M,0.544598,False
2000,Athletics,GEQ,M,0.544598,False
2004,Athletics,GEQ,M,0.544598,False
2008,Athletics,GEQ,M,0.544598,False
2012,Athletics,GEQ,M,0.544598,False
2016,Athletics,GEQ,M,0.544598,False
2020,Athletics,GEQ,M,0.544598,False
2024,Athletics,GEQ,M,0.544598,False
1928,Athletics,GER,F,0.5124153,False
1932,Athletics,GER,F,0.35473615,False
1936,Athletics,GER,F,0.5703726,False
1952,Athletics,GER,F,0.42784792,False
1956,Athletics,GER,F,0.35473615,False
1960,Athletics,GER,F,0.4139813,False
1964,Athletics,GER,F,0.50513,False
1992,Athletics,GER,F,0.5547487,False
1996,Athletics,GER,F,0.65642595,False
2000,Athletics,GER,F,0.6218318,False
2004,Athletics,GER,F,0.52402884,False
2008,Athletics,GER,F,0.5591125,False
2012,Athletics,GER,F,0.5258629,False
2016,Athletics,GER,F,0.51885647,False
2020,Athletics,GER,F,0.597375,False
2024,Athletics,GER,F,0.65642595,False
1896,Athletics,GER,M,0.35290214,False
1900,Athletics,GER,M,0.34772977,False
1904,Athletics,GER,M,0.36352885,False
1906,Athletics,GER,M,0.322994,False
1908,Athletics,GER,M,0.34745073,False
1912,Athletics,GER,M,0.32116005,False
1928,Athletics,GER,M,0.3931001,False
1932,Athletics,GER,M,0.4205625,False
1936,Athletics,GER,M,0.5306101,False
1952,Athletics,GER,M,0.43062472,False
1956,Athletics,GER,M,0.39888263,False
1960,Athletics,GER,M,0.54949135,False
1964,Athletics,GER,M,0.5386304,False
1992,Athletics,GER,M,0.50169194,False
1996,Athletics,GER,M,0.597375,False
2000,Athletics,GER,M,0.6218318,False
2004,Athletics,GER,M,0.51885647,False
2008,Athletics,GER,M,0.544598,False
2012,Athletics,GER,M,0.6218318,False
2016,Athletics,GER,M,0.597375,False
2020,Athletics,GER,M,0.52402884,False
2024,Athletics,GER,M,0.52402884,False
1964,Athletics,GHA,F,0.34772977,False
1968,Athletics,GHA,F,0.34772977,False
1972,Athletics,GHA,F,0.3548772,False
1984,Athletics,GHA,F,0.36292055,False
1988,Athletics,GHA,F,0.36292055,False
1996,Athletics,GHA,F,0.544598,False
2000,Athletics,GHA,F,0.544598,False
2004,Athletics,GHA,F,0.544598,False
2008,Athletics,GHA,F,0.544598,False
2012,Athletics,GHA,F,0.544598,False
2016,Athletics,GHA,F,0.544598,False
2020,Athletics,GHA,F,0.544598,False
2024,Athletics,GHA,F,0.544598,False
1952,Athletics,GHA,M,0.34772977,False
1960,Athletics,GHA,M,0.34772977,False
1964,Athletics,GHA,M,0.34772977,False
1968,Athletics,GHA,M,0.34772977,False
1972,Athletics,GHA,M,0.3548772,False
1984,Athletics,GHA,M,0.36292055,False
1988,Athletics,GHA,M,0.36292055,False
1992,Athletics,GHA,M,0.37866002,False
1996,Athletics,GHA,M,0.544598,False
2000,Athletics,GHA,M,0.544598,False
2004,Athletics,GHA,M,0.544598,False
2008,Athletics,GHA,M,0.544598,False
2012,Athletics,GHA,M,0.544598,False
2016,Athletics,GHA,M,0.544598,False
2020,Athletics,GHA,M,0.544598,False
2024,Athletics,GHA,M,0.544598,False
1936,Athletics,GRE,F,0.34772977,False
1948,Athletics,GRE,F,0.34772977,False
1976,Athletics,GRE,F,0.3548772,False
1980,Athletics,GRE,F,0.3548772,False
1984,Athletics,GRE,F,0.36292055,False
1988,Athletics,GRE,F,0.36292055,False
1992,Athletics,GRE,F,0.5334338,False
1996,Athletics,GRE,F,0.54977036,False
2000,Athletics,GRE,F,0.54977036,False
2004,Athletics,GRE,F,0.6218318,False
2008,Athletics,GRE,F,0.5603971,False
2012,Athletics,GRE,F,0.544598,False
2016,Athletics,GRE,F,0.6231164,False
2020,Athletics,GRE,F,0.544598,False
2024,Athletics,GRE,F,0.544598,False
1896,Athletics,GRE,M,0.56308717,False
1900,Athletics,GRE,M,0.34772977,False
1904,Athletics,GRE,M,0.36352885,False
1906,Athletics,GRE,M,0.5386304,False
1908,Athletics,GRE,M,0.35290214,False
1912,Athletics,GRE,M,0.5124153,False
1920,Athletics,GRE,M,0.34772977,False
1924,Athletics,GRE,M,0.34044436,False
1928,Athletics,GRE,M,0.34044436,False
1932,Athletics,GRE,M,0.34772977,False
1936,Athletics,GRE,M,0.34772977,False
1948,Athletics,GRE,M,0.34772977,False
1952,Athletics,GRE,M,0.34772977,False
1956,Athletics,GRE,M,0.36352885,False
1960,Athletics,GRE,M,0.34772977,False
1964,Athletics,GRE,M,0.34772977,False
1968,Athletics,GRE,M,0.34772977,False
1972,Athletics,GRE,M,0.3548772,False
1976,Athletics,GRE,M,0.3548772,False
1980,Athletics,GRE,M,0.3548772,False
1984,Athletics,GRE,M,0.36292055,False
1992,Athletics,GRE,M,0.37866002,False
1996,Athletics,GRE,M,0.544598,False
2000,Athletics,GRE,M,0.6218318,False
2004,Athletics,GRE,M,0.544598,False
2008,Athletics,GRE,M,0.544598,False
2012,Athletics,GRE,M,0.544598,False
2016,Athletics,GRE,M,0.544598,False
2020,Athletics,GRE,M,0.6231164,False
2024,Athletics,GRE,M,0.6231164,False
1984,Athletics,GRN,F,0.36292055,False
1988,Athletics,GRN,F,0.36292055,False
1992,Athletics,GRN,F,0.37866002,False
2000,Athletics,GRN,F,0.544598,False
2004,Athletics,GRN,F,0.544598,False
2008,Athletics,GRN,F,0.544598,False
2012,Athletics,GRN,F,0.544598,False
2020,Athletics,GRN,F,0.544598,False
2024,Athletics,GRN,F,0.544598,False
1984,Athletics,GRN,M,0.36292055,False
1992,Athletics,GRN,M,0.37866002,False
1996,Athletics,GRN,M,0.544598,False
2000,Athletics,GRN,M,0.544598,False
2004,Athletics,GRN,M,0.544598,False
2008,Athletics,GRN,M,0.544598,False
2012,Athletics,GRN,M,0.6231164,False
2016,Athletics,GRN,M,0.54977036,False
2020,Athletics,GRN,M,0.5603971,False
2024,Athletics,GRN,M,0.5603971,False
1952,Athletics,GUA,F,0.34772977,False
1984,Athletics,GUA,F,0.36292055,False
1988,Athletics,GUA,F,0.36292055,False
2000,Athletics,GUA,F,0.544598,False
2004,Athletics,GUA,F,0.544598,False
2008,Athletics,GUA,F,0.544598,False
2012,Athletics,GUA,F,0.544598,False
2016,Athletics,GUA,F,0.544598,False
2020,Athletics,GUA,F,0.544598,False
2024,Athletics,GUA,F,0.544598,False
1952,Athletics,GUA,M,0.34772977,False
1968,Athletics,GUA,M,0.34772977,False
1972,Athletics,GUA,M,0.3548772,False
1984,Athletics,GUA,M,0.36292055,False
1996,Athletics,GUA,M,0.544598,False
2000,Athletics,GUA,M,0.544598,False
2004,Athletics,GUA,M,0.544598,False
2008,Athletics,GUA,M,0.544598,False
2012,Athletics,GUA,M,0.54977036,False
2016,Athletics,GUA,M,0.544598,False
2020,Athletics,GUA,M,0.544598,False
2024,Athletics,GUA,M,0.544598,False
1992,Athletics,GUI,F,0.37866002,False
1996,Athletics,GUI,F,0.544598,False
2000,Athletics,GUI,F,0.544598,False
2008,Athletics,GUI,F,0.544598,False
2012,Athletics,GUI,F,0.544598,False
2016,Athletics,GUI,F,0.544598,False
2020,Athletics,GUI,F,0.544598,False
2024,Athletics,GUI,F,0.544598,False
1980,Athletics,GUI,M,0.3548772,False
1988,Athletics,GUI,M,0.36292055,False
1992,Athletics,GUI,M,0.37866002,False
1996,Athletics,GUI,M,0.544598,False
2000,Athletics,GUI,M,0.544598,False
2004,Athletics,GUI,M,0.544598,False
2008,Athletics,GUI,M,0.544598,False
2012,Athletics,GUI,M,0.544598,False
2016,Athletics,GUI,M,0.544598,False
1988,Athletics,GUM,F,0.36292055,False
1992,Athletics,GUM,F,0.37866002,False
1996,Athletics,GUM,F,0.544598,False
2000,Athletics,GUM,F,0.544598,False
2004,Athletics,GUM,F,0.544598,False
2008,Athletics,GUM,F,0.544598,False
2012,Athletics,GUM,F,0.544598,False
2016,Athletics,GUM,F,0.544598,False
2020,Athletics,GUM,F,0.544598,False
2024,Athletics,GUM,F,0.544598,False
1988,Athletics,GUM,M,0.36292055,False
1992,Athletics,GUM,M,0.37866002,False
1996,Athletics,GUM,M,0.544598,False
2000,Athletics,GUM,M,0.544598,False
2004,Athletics,GUM,M,0.544598,False
2008,Athletics,GUM,M,0.544598,False
2012,Athletics,GUM,M,0.544598,False
2016,Athletics,GUM,M,0.544598,False
2024,Athletics,GUM,M,0.544598,False
1956,Athletics,GUY,F,0.34772977,False
1960,Athletics,GUY,F,0.34772977,False
1980,Athletics,GUY,F,0.3548772,False
1984,Athletics,GUY,F,0.36292055,False
1988,Athletics,GUY,F,0.36292055,False
1992,Athletics,GUY,F,0.37866002,False
1996,Athletics,GUY,F,0.544598,False
2000,Athletics,GUY,F,0.544598,False
2004,Athletics,GUY,F,0.544598,False
2008,Athletics,GUY,F,0.544598,False
2012,Athletics,GUY,F,0.544598,False
2016,Athletics,GUY,F,0.544598,False
2020,Athletics,GUY,F,0.544598,False
2024,Athletics,GUY,F,0.544598,False
1948,Athletics,GUY,M,0.34772977,False
1956,Athletics,GUY,M,0.34772977,False
1960,Athletics,GUY,M,0.34772977,False
1968,Athletics,GUY,M,0.34772977,False
1980,Athletics,GUY,M,0.3548772,False
1984,Athletics,GUY,M,0.36292055,False
1988,Athletics,GUY,M,0.36292055,False
1992,Athletics,GUY,M,0.37866002,False
1996,Athletics,GUY,M,0.544598,False
2000,Athletics,GUY,M,0.544598,False
2008,Athletics,GUY,M,0.544598,False
2012,Athletics,GUY,M,0.544598,False
2016,Athletics,GUY,M,0.544598,False
2020,Athletics,GUY,M,0.544598,False
2024,Athletics,GUY,M,0.544598,False
1972,Athletics,HAI,F,0.3548772,False
1976,Athletics,HAI,F,0.3548772,False
1988,Athletics,HAI,F,0.36292055,False
2000,Athletics,HAI,F,0.544598,False
2004,Athletics,HAI,F,0.544598,False
2008,Athletics,HAI,F,0.544598,False
2012,Athletics,HAI,F,0.544598,False
2016,Athletics,HAI,F,0.544598,False
2020,Athletics,HAI,F,0.544598,False
2024,Athletics,HAI,F,0.544598,False
1924,Athletics,HAI,M,0.34772977,False
1928,Athletics,HAI,M,0.35290214,False
1932,Athletics,HAI,M,0.34772977,False
1972,Athletics,HAI,M,0.3548772,False
1976,Athletics,HAI,M,0.3548772,False
1984,Athletics,HAI,M,0.36292055,False
1988,Athletics,HAI,M,0.36292055,False
1992,Athletics,HAI,M,0.37866002,False
1996,Athletics,HAI,M,0.544598,False
2000,Athletics,HAI,M,0.544598,False
2004,Athletics,HAI,M,0.544598,False
2008,Athletics,HAI,M,0.544598,False
2012,Athletics,HAI,M,0.544598,False
2016,Athletics,HAI,M,0.544598,False
2024,Athletics,HAI,M,0.544598,False
1984,Athletics,HKG,F,0.36292055,False
1988,Athletics,HKG,F,0.36292055,False
1992,Athletics,HKG,F,0.37866002,False
1996,Athletics,HKG,F,0.544598,False
2000,Athletics,HKG,F,0.544598,False
2008,Athletics,HKG,F,0.544598,False
2012,Athletics,HKG,F,0.544598,False
2016,Athletics,HKG,F,0.544598,False
2020,Athletics,HKG,F,0.544598,False
1964,Athletics,HKG,M,0.34772977,False
1984,Athletics,HKG,M,0.36292055,False
1988,Athletics,HKG,M,0.36292055,False
1992,Athletics,HKG,M,0.37866002,False
2000,Athletics,HKG,M,0.544598,False
2004,Athletics,HKG,M,0.544598,False
2008,Athletics,HKG,M,0.544598,False
2012,Athletics,HKG,M,0.544598,False
2016,Athletics,HKG,M,0.544598,False
2020,Athletics,HKG,M,0.544598,False
2024,Athletics,HKG,M,0.544598,False
1984,Athletics,HON,F,0.36292055,False
1996,Athletics,HON,F,0.544598,False
2000,Athletics,HON,F,0.544598,False
2008,Athletics,HON,F,0.544598,False
2012,Athletics,HON,F,0.544598,False
1968,Athletics,HON,M,0.34772977,False
1976,Athletics,HON,M,0.3548772,False
1984,Athletics,HON,M,0.36292055,False
1988,Athletics,HON,M,0.36292055,False
1992,Athletics,HON,M,0.37866002,False
2004,Athletics,HON,M,0.544598,False
2008,Athletics,HON,M,0.544598,False
2012,Athletics,HON,M,0.544598,False
2016,Athletics,HON,M,0.544598,False
2020,Athletics,HON,M,0.544598,False
2024,Athletics,HON,M,0.544598,False
1928,Athletics,HUN,F,0.34772977,False
1936,Athletics,HUN,F,0.5124153,False
1948,Athletics,HUN,F,0.5124153,False
1952,Athletics,HUN,F,0.34772977,False
1956,Athletics,HUN,F,0.34772977,False
1960,Athletics,HUN,F,0.34772977,False
1964,Athletics,HUN,F,0.35290214,False
1968,Athletics,HUN,F,0.5124153,False
1972,Athletics,HUN,F,0.3548772,False
1976,Athletics,HUN,F,0.3548772,False
1980,Athletics,HUN,F,0.3548772,False
1988,Athletics,HUN,F,0.36292055,False
1992,Athletics,HUN,F,0.37866002,False
1996,Athletics,HUN,F,0.544598,False
2000,Athletics,HUN,F,0.544598,False
2004,Athletics,HUN,F,0.544598,False
2008,Athletics,HUN,F,0.544598,False
2012,Athletics,HUN,F,0.544598,False
2016,Athletics,HUN,F,0.5603971,False
2020,Athletics,HUN,F,0.544598,False
2024,Athletics,HUN,F,0.544598,False
1896,Athletics,HUN,M,0.35473615,False
1900,Athletics,HUN,M,0.5124153,False
1904,Athletics,HUN,M,0.34772977,False
1906,Athletics,HUN,M,0.50513,False
1908,Athletics,HUN,M,0.39888263,False
1912,Athletics,HUN,M,0.33178675,False
1924,Athletics,HUN,M,0.35290214,False
1928,Athletics,HUN,M,0.34561673,False
1932,Athletics,HUN,M,0.34772977,False
1936,Athletics,HUN,M,0.31598768,False
1948,Athletics,HUN,M,0.5124153,False
1952,Athletics,HUN,M,0.56308717,False
1956,Athletics,HUN,M,0.35290214,False
1960,Athletics,HUN,M,0.35473615,False
1964,Athletics,HUN,M,0.34745073,False
1968,Athletics,HUN,M,0.5124153,False
1972,Athletics,HUN,M,0.3548772,False
1976,Athletics,HUN,M,0.5195625,False
1980,Athletics,HUN,M,0.3548772,False
1988,Athletics,HUN,M,0.36292055,False
1992,Athletics,HUN,M,0.37866002,False
1996,Athletics,HUN,M,0.6231164,False
2000,Athletics,HUN,M,0.5433134,False
2004,Athletics,HUN,M,0.54977036,False
2008,Athletics,HUN,M,0.544598,False
2012,Athletics,HUN,M,0.6231164,False
2016,Athletics,HUN,M,0.544598,False
2020,Athletics,HUN,M,0.544598,False
2024,Athletics,HUN,M,0.54977036,False
1972,Athletics,INA,F,0.3548772,False
1976,Athletics,INA,F,0.3548772,False
1984,Athletics,INA,F,0.36292055,False
2000,Athletics,INA,F,0.544598,False
2004,Athletics,INA,F,0.544598,False
2008,Athletics,INA,F,0.544598,False
2012,Athletics,INA,F,0.544598,False
2016,Athletics,INA,F,0.544598,False
2020,Athletics,INA,F,0.544598,False
1952,Athletics,INA,M,0.34772977,False
1956,Athletics,INA,M,0.34772977,False
1960,Athletics,INA,M,0.34772977,False
1984,Athletics,INA,M,0.36292055,False
1988,Athletics,INA,M,0.36292055,False
1996,Athletics,INA,M,0.544598,False
2000,Athletics,INA,M,0.544598,False
2004,Athletics,INA,M,0.544598,False
2008,Athletics,INA,M,0.544598,False
2012,Athletics,INA,M,0.544598,False
2016,Athletics,INA,M,0.544598,False
2020,Athletics,INA,M,0.544598,False
2024,Athletics,INA,M,0.544598,False
1952,Athletics,IND,F,0.34772977,False
1956,Athletics,IND,F,0.34772977,False
1964,Athletics,IND,F,0.34772977,False
1972,Athletics,IND,F,0.3548772,False
1980,Athletics,IND,F,0.3548772,False
1984,Athletics,IND,F,0.36292055,False
1988,Athletics,IND,F,0.36292055,False
1992,Athletics,IND,F,0.37866002,False
1996,Athletics,IND,F,0.544598,False
2000,Athletics,IND,F,0.544598,False
2004,Athletics,IND,F,0.544598,False
2008,Athletics,IND,F,0.544598,False
2012,Athletics,IND,F,0.544598,False
2016,Athletics,IND,F,0.544598,False
2020,Athletics,IND,F,0.544598,False
2024,Athletics,IND,F,0.544598,False
1900,Athletics,IND,M,0.35290214,False
1920,Athletics,IND,M,0.34772977,False
1924,Athletics,IND,M,0.34772977,False
1928,Athletics,IND,M,0.34772977,False
1932,Athletics,IND,M,0.34772977,False
1936,Athletics,IND,M,0.34772977,False
1948,Athletics,IND,M,0.34772977,False
1952,Athletics,IND,M,0.34772977,False
1956,Athletics,IND,M,0.34772977,False
1960,Athletics,IND,M,0.34772977,False
1964,Athletics,IND,M,0.34772977,False
1968,Athletics,IND,M,0.34772977,False
1972,Athletics,IND,M,0.3548772,False
1976,Athletics,IND,M,0.3548772,False
1980,Athletics,IND,M,0.3548772,False
1984,Athletics,IND,M,0.36292055,False
1992,Athletics,IND,M,0.37866002,False
1996,Athletics,IND,M,0.544598,False
2000,Athletics,IND,M,0.544598,False
2004,Athletics,IND,M,0.544598,False
2008,Athletics,IND,M,0.544598,False
2012,Athletics,IND,M,0.544598,False
2016,Athletics,IND,M,0.544598,False
2020,Athletics,IND,M,0.6231164,False
2024,Athletics,IND,M,0.54977036,False
1992,Athletics,IOA,F,0.37866002,False
2000,Athletics,IOA,F,0.544598,False
1992,Athletics,IOA,M,0.37866002,False
2000,Athletics,IOA,M,0.544598,False
2012,Athletics,IOA,M,0.544598,False
1964,Athletics,IRI,F,0.34772977,False
2012,Athletics,IRI,F,0.544598,False
2016,Athletics,IRI,F,0.544598,False
2020,Athletics,IRI,F,0.544598,False
2024,Athletics,IRI,F,0.544598,False
1952,Athletics,IRI,M,0.34772977,False
1956,Athletics,IRI,M,0.34772977,False
1960,Athletics,IRI,M,0.34772977,False
1964,Athletics,IRI,M,0.34772977,False
1968,Athletics,IRI,M,0.34772977,False
1972,Athletics,IRI,M,0.3548772,False
1976,Athletics,IRI,M,0.3548772,False
1988,Athletics,IRI,M,0.36292055,False
1992,Athletics,IRI,M,0.37866002,False
1996,Athletics,IRI,M,0.544598,False
2000,Athletics,IRI,M,0.544598,False
2004,Athletics,IRI,M,0.544598,False
2008,Athletics,IRI,M,0.544598,False
2012,Athletics,IRI,M,0.54977036,False
2016,Athletics,IRI,M,0.544598,False
2020,Athletics,IRI,M,0.544598,False
2024,Athletics,IRI,M,0.544598,False
1956,Athletics,IRL,F,0.34772977,False
1960,Athletics,IRL,F,0.34772977,False
1964,Athletics,IRL,F,0.34772977,False
1972,Athletics,IRL,F,0.3548772,False
1976,Athletics,IRL,F,0.3548772,False
1984,Athletics,IRL,F,0.36292055,False
1988,Athletics,IRL,F,0.36292055,False
1992,Athletics,IRL,F,0.37866002,False
1996,Athletics,IRL,F,0.544598,False
2000,Athletics,IRL,F,0.54977036,False
2004,Athletics,IRL,F,0.544598,False
2008,Athletics,IRL,F,0.544598,False
2012,Athletics,IRL,F,0.544598,False
2016,Athletics,IRL,F,0.544598,False
2020,Athletics,IRL,F,0.544598,False
2024,Athletics,IRL,F,0.544598,False
1924,Athletics,IRL,M,0.34772977,False
1928,Athletics,IRL,M,0.5124153,False
1932,Athletics,IRL,M,0.5124153,False
1948,Athletics,IRL,M,0.34772977,False
1952,Athletics,IRL,M,0.34772977,False
1956,Athletics,IRL,M,0.5124153,False
1960,Athletics,IRL,M,0.34772977,False
1964,Athletics,IRL,M,0.34772977,False
1968,Athletics,IRL,M,0.34772977,False
1972,Athletics,IRL,M,0.3548772,False
1976,Athletics,IRL,M,0.3548772,False
1980,Athletics,IRL,M,0.3548772,False
1984,Athletics,IRL,M,0.36809292,False
1988,Athletics,IRL,M,0.36292055,False
1992,Athletics,IRL,M,0.37866002,False
1996,Athletics,IRL,M,0.544598,False
2000,Athletics,IRL,M,0.544598,False
2004,Athletics,IRL,M,0.544598,False
2008,Athletics,IRL,M,0.544598,False
2012,Athletics,IRL,M,0.544598,False
2016,Athletics,IRL,M,0.544598,False
2020,Athletics,IRL,M,0.544598,False
2024,Athletics,IRL,M,0.544598,False
2000,Athletics,IRQ,F,0.544598,False
2004,Athletics,IRQ,F,0.544598,False
2008,Athletics,IRQ,F,0.544598,False
2012,Athletics,IRQ,F,0.544598,False
1948,Athletics,IRQ,M,0.34772977,False
1960,Athletics,IRQ,M,0.34772977,False
